place_fips,STATEFP,Govt_level_x,placename,Govt_level_y,_merge
99005,16,1,Bannock County,1,both
99007,16,1,Bear Lake County,1,both
99009,16,1,Benewah County,1,both
99011,16,1,Bingham County,1,both
99013,16,1,Blaine County,1,both
99015,16,1,Boise County,1,both
99015,16,1,Boise County,0,both
99017,16,1,Bonner County,1,both
99019,16,1,Bonneville County,1,both
99021,16,1,Boundary County,1,both
99023,16,1,Butte County,1,both
99025,16,1,Camas County,1,both
99027,16,1,Canyon County,1,both
99029,16,1,Caribou County,1,both
99031,16,1,Cassia County,1,both
99033,16,1,Clark County,1,both
99035,16,1,Clearwater County,1,both
99037,16,1,Custer County,1,both
99039,16,1,Elmore County,1,both
99041,16,1,Franklin County,1,both
99043,16,1,Fremont County,1,both
99045,16,1,Gem County,1,both
99047,16,1,Gooding County,1,both
99049,16,1,Idaho County,1,both
99049,16,1,Idaho County,0,both
99051,16,1,Jefferson County,1,both
99053,16,1,Jerome County,1,both
99055,16,1,Kootenai County,1,both
99057,16,1,Latah County,1,both
99059,16,1,Lemhi County,1,both
99061,16,1,Lewis County,1,both
99063,16,1,Lincoln County,1,both
99065,16,1,Madison County,1,both
99067,16,1,Minidoka County,1,both
