Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,POP100,White_count,Black_count,Hispanic_count,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Hispanic_Males_All,Age1524_HispanicM,Age1524_HispanicF,Hispanic_Females_All,Pct_WYM,Pct_WYF
1,99050,Bethel Census Area,50,2,2010,17013.0,1894.0,65.0,181.0,75.0,1071.0,70.0,823.0,3.0,33.0,4.0,32.0,95.0,18.0,17.0,86.0,0.0700280112044818,0.0850546780072904
1,99060,Bristol Bay Borough,60,2,2010,997.0,481.0,0.0,24.0,19.0,280.0,13.0,201.0,0.0,0.0,0.0,0.0,17.0,3.0,1.0,7.0,0.06785714285714285,0.06467661691542288
1,99068,Denali Borough,68,2,2010,1826.0,1637.0,10.0,42.0,62.0,907.0,55.0,730.0,1.0,9.0,0.0,1.0,21.0,4.0,1.0,21.0,0.06835722160970231,0.07534246575342465
1,99070,Dillingham Census Area,70,2,2010,4847.0,878.0,11.0,101.0,27.0,498.0,31.0,380.0,1.0,9.0,0.0,2.0,55.0,8.0,3.0,46.0,0.05421686746987952,0.08157894736842106
1,99090,Fairbanks North Star Borough,90,2,2010,97581.0,75175.0,4423.0,5651.0,6963.0,40327.0,5519.0,34848.0,548.0,2493.0,359.0,1930.0,2939.0,690.0,546.0,2712.0,0.1726634760830213,0.158373507805326
1,99100,Haines Borough,100,2,2010,2508.0,2086.0,10.0,47.0,78.0,1061.0,80.0,1025.0,0.0,6.0,0.0,4.0,24.0,2.0,5.0,23.0,0.07351555136663525,0.07804878048780488
1,99105,Hoonah-Angoon Census Area,105,2,2010,2150.0,1014.0,8.0,77.0,40.0,549.0,23.0,465.0,1.0,5.0,0.0,3.0,39.0,11.0,8.0,38.0,0.07285974499089254,0.04946236559139785
1,99110,Juneau City and Borough,110,2,2010,31275.0,21814.0,279.0,1588.0,1313.0,11275.0,1165.0,10539.0,14.0,183.0,11.0,96.0,821.0,151.0,139.0,767.0,0.11645232815964524,0.11054179713445299
1,99122,Kenai Peninsula Borough,122,2,2010,55400.0,46857.0,269.0,1641.0,2970.0,24631.0,2561.0,22226.0,42.0,178.0,15.0,91.0,809.0,152.0,140.0,832.0,0.12057975721651577,0.11522541168001439
1,99130,Ketchikan Gateway Borough,130,2,2010,13477.0,9176.0,78.0,538.0,612.0,4799.0,479.0,4377.0,5.0,56.0,3.0,22.0,294.0,50.0,34.0,244.0,0.12752656803500728,0.1094356865432945
1,99150,Kodiak Island Borough,150,2,2010,13592.0,7522.0,92.0,996.0,576.0,4080.0,422.0,3442.0,7.0,57.0,6.0,35.0,524.0,93.0,90.0,472.0,0.1411764705882353,0.12260313771063336
1,99164,Lake and Peninsula Borough,164,2,2010,1631.0,380.0,9.0,43.0,13.0,227.0,18.0,153.0,0.0,5.0,0.0,4.0,22.0,4.0,5.0,21.0,0.05726872246696035,0.11764705882352941
1,99170,Matanuska-Susitna Borough,170,2,2010,88995.0,75540.0,856.0,3301.0,4942.0,39339.0,4546.0,36201.0,72.0,500.0,72.0,356.0,1618.0,291.0,267.0,1683.0,0.12562596914003915,0.12557664152923953
1,99180,Nome Census Area,180,2,2010,9492.0,1552.0,27.0,115.0,74.0,887.0,70.0,665.0,1.0,17.0,1.0,10.0,68.0,12.0,7.0,47.0,0.0834272829763247,0.10526315789473684
1,99185,North Slope Borough,185,2,2010,9430.0,3147.0,94.0,249.0,132.0,2542.0,46.0,605.0,7.0,69.0,5.0,25.0,168.0,30.0,17.0,81.0,0.05192761605035405,0.07603305785123966
1,99188,Northwest Arctic Borough,188,2,2010,7523.0,846.0,37.0,58.0,38.0,527.0,28.0,319.0,1.0,13.0,2.0,24.0,33.0,8.0,4.0,25.0,0.07210626185958255,0.0877742946708464
1,99195,Petersburg Census Area,195,2,2010,3815.0,2711.0,15.0,130.0,143.0,1433.0,138.0,1278.0,2.0,8.0,3.0,7.0,69.0,17.0,7.0,61.0,0.09979064898813678,0.107981220657277
1,99198,Prince of Wales-Hyder Census Area,198,2,2010,5559.0,2799.0,17.0,127.0,160.0,1615.0,99.0,1184.0,1.0,13.0,0.0,4.0,81.0,16.0,5.0,46.0,0.09907120743034056,0.08361486486486487
1,99220,Sitka City and Borough,220,2,2010,8881.0,5798.0,47.0,437.0,286.0,2967.0,301.0,2831.0,9.0,24.0,1.0,23.0,221.0,35.0,36.0,216.0,0.09639366363329963,0.10632285411515366
1,99230,Skagway Municipality,230,2,2010,968.0,885.0,0.0,21.0,35.0,461.0,42.0,424.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,13.0,0.07592190889370933,0.09905660377358491
1,99240,Southeast Fairbanks Census Area,240,2,2010,7029.0,5651.0,76.0,234.0,355.0,3192.0,334.0,2459.0,8.0,53.0,3.0,23.0,128.0,15.0,11.0,106.0,0.1112155388471178,0.13582757218381455
1,99261,Valdez-Cordova Census Area,261,2,2010,9636.0,7127.0,46.0,349.0,430.0,3865.0,359.0,3262.0,2.0,33.0,1.0,13.0,170.0,29.0,39.0,179.0,0.111254851228978,0.11005518087063151
1,99270,Wade Hampton Census Area,270,2,2010,7459.0,201.0,1.0,7.0,3.0,112.0,4.0,89.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,2.0,0.026785714285714284,0.0449438202247191
1,99275,Wrangell City and Borough,275,2,2010,2369.0,1719.0,4.0,37.0,100.0,932.0,69.0,787.0,0.0,1.0,0.0,3.0,13.0,1.0,6.0,24.0,0.1072961373390558,0.08767471410419314
1,99282,Yakutat City and Borough,282,2,2010,662.0,281.0,2.0,17.0,9.0,154.0,13.0,127.0,0.0,2.0,0.0,0.0,9.0,4.0,2.0,8.0,0.05844155844155844,0.10236220472440945
1,99290,Yukon-Koyukuk Census Area,290,2,2010,5588.0,1243.0,10.0,66.0,62.0,698.0,42.0,545.0,0.0,7.0,0.0,3.0,39.0,6.0,2.0,27.0,0.08882521489971347,0.07706422018348624
1,99001,Apache County,1,4,2010,71518.0,16634.0,175.0,4113.0,823.0,8501.0,861.0,8133.0,15.0,121.0,5.0,54.0,2185.0,355.0,305.0,1928.0,0.09681213974826491,0.10586499446698636
1,99003,Cochise County,3,4,2010,131346.0,103085.0,5465.0,42543.0,6846.0,52444.0,5640.0,50641.0,610.0,3195.0,428.0,2270.0,21121.0,3807.0,3380.0,21422.0,0.13053924185798185,0.11137220828972572
1,99005,Coconino County,5,4,2010,134421.0,82967.0,1629.0,18166.0,8450.0,41642.0,9307.0,41325.0,272.0,855.0,276.0,774.0,9157.0,2059.0,2199.0,9009.0,0.2029201287162,0.22521476104053237
1,99007,Gila County,7,4,2010,53597.0,41162.0,233.0,9588.0,1987.0,20451.0,1754.0,20711.0,14.0,146.0,16.0,87.0,4867.0,750.0,678.0,4721.0,0.09715906312649748,0.08468929554343102
